Date & Time, Temprature *C, Humidity %
[2021-12-23 01:48:00.799] ,27.1,54
[2021-12-23 01:48:00.799] ,27.2,53
[2021-12-23 01:48:00.799] ,27.1,53
[2021-12-23 01:48:00.799] ,27.1,52
[2021-12-23 01:48:00.799] ,27.2,52
[2021-12-23 01:48:00.799] ,27.2,51
[2021-12-23 01:48:00.799] ,27.1,50
[2021-12-23 01:48:00.799] ,27.2,50
[2021-12-23 01:48:00.799] ,27.1,50
[2021-12-23 01:48:00.799] ,27.1,49
[2021-12-23 01:48:00.799] ,27.1,49
[2021-12-23 01:48:02.179] ,27.1,48
[2021-12-23 01:48:04.200] ,27.1,48
[2021-12-23 01:48:06.235] ,27.1,48
[2021-12-23 01:48:08.263] ,27.1,48
[2021-12-23 01:48:10.290] ,27.1,47
[2021-12-23 01:48:12.318] ,27.1,47
[2021-12-23 01:48:14.349] ,27.1,47
[2021-12-23 01:48:16.376] ,27.1,47
[2021-12-23 01:48:18.402] ,27.1,47
[2021-12-23 01:48:20.432] ,27,47
[2021-12-23 01:48:22.459] ,27,47
[2021-12-23 01:48:24.487] ,27.1,47
[2021-12-23 01:48:26.515] ,27,47
[2021-12-23 01:48:28.543] ,27,47
[2021-12-23 01:48:30.568] ,27,46
[2021-12-23 01:48:32.591] ,27,46
[2021-12-23 01:48:34.625] ,27,46
[2021-12-23 01:48:36.654] ,27,46
[2021-12-23 01:48:38.678] ,27,47
[2021-12-23 01:48:40.702] ,27,47
[2021-12-23 01:48:42.729] ,26.9,47
[2021-12-23 01:48:44.759] ,26.9,47
[2021-12-23 01:48:46.796] ,26.9,47
[2021-12-23 01:48:48.816] ,26.9,47
[2021-12-23 01:48:50.847] ,27,47
[2021-12-23 01:48:52.871] ,26.9,47
[2021-12-23 01:48:54.906] ,26.9,47
[2021-12-23 01:48:56.933] ,26.9,47
[2021-12-23 01:48:58.962] ,26.9,47
[2021-12-23 01:49:00.990] ,26.9,47
[2021-12-23 01:49:03.017] ,27,47
[2021-12-23 01:49:05.045] ,26.9,47
[2021-12-23 01:49:07.072] ,26.9,46
[2021-12-23 01:49:09.095] ,26.9,46
